Name,Number,Type,Street,Quarter,Plan_number
Garage du Bosset,79,Garage,Chemin du Bosset,Le Bosset,4
Garage Gelinotte,102,Garage,Chemin du Petit Alaska,Le Petit Alaska,5
Garage l'Adonis,80,Garage,Route de la Balme,Le Bosset,4
Garage L'Ancolie,350,Garage,Rue des Leissières,Le Rogoney,8
Gardes du Parc de la Vanoise,519,Chalet,Chemin de la Vanoise,Le Laisinant,13
Gare Funiculaire,24,Remontée,Accès par rue des étroits,La Daille,2
Gare Routière,193,Bâtiment,Avenue Olympique,Le Coin,7
Gare Télécabine,15,Bâtiment,Rue des étoits,La Daille,2
Gaudissard,290,Commerce,Avenue du Prariond,Place Moufflier,7
Gelinotte La,92,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Gelinotte La,101,Hôtel,Chemin du Petit Alaska,Le Petit Alaska,5
Gendarmerie Nationale,498,Bâtiment,Avenue du Prariond,Les Richardes,12
Genepy,110,Chalet,Accès par Route de la Balme,Le Petit Alaska,5
Genepy Le,459,Chalet,Avenue du Prariond,Vieux Village,8
Geneviève,391,Chalet,Rue de la Legettaz,La Legettaz,11
Gentianes Les,314,Chalet,Impasse des Gentianes,L'Illetaz,8
Gîte Communal,552,Chalet,Chemin des Prés,Le Fornet,15
Gîte l'Ecureuil,531,Chalet,Chemin des Prés,Le Fornet,15
Glaciers Les,293,Résidence,Accès par Avenue du Prariond,Le Thovex,7
Gnellets Les,357,Chalet,Accès par Pont du Joseray,Le Joseray,10
Golf,386,Chalet,Accès par Rue du Joseray,Châtelard,11
Gourmandine La,439,Restaurant,Rue du Cachay,Rond-Point des Pistes,9
Grain de Sel Le,211,Restaurant,Avenue Olympique,Le Dôme,7
Grand Angle photos,145,Photographe,Avenue Olympique,L'Illaz,4
Grand Cocor,264,Restaurant,Rue du Cocor,Les Lèches,7
Grand Cocor Le,264,Résidence,Rue du Cocor,Les Lèches,7
Grand Nord,109,Hôtel,Route de la Balme,Le Petit Alaska,5
Grand Paradis,263,Résidence,Rue du Cocor,Les Lèches,7
Grand Parei,570,Chalet,Route du Fornet,Le Fornet,15
Grand Pares,564,Chalet,Route du Fornet,Le Fornet,15
Grand Pierre (Maison),358,Chalet,Accès par Pont du Joseray,Le Joseray,10
Grand Pré,670,Chalet,Montée de la Legettaz,La Legettaz,10
Grand Près,181,Chalet,Route de la Balme,La Balme,6
Grand Tétras,387,Chalet,Accès par Rue du Joseray,Châtelard,11
Grand Vallon Le,158,Résidence,Rue de la Face,La Calabourdanne,7
Grande Casse La,115,Chalet,Chemin du Cacholet,Le Cacholet,3
Grande Ours La,321,Restaurant,Rue de la Grande Ourse,Le Front de Neige,8
Grande Sassière,69,Chalet,Chemin du Cacholet,Le Crêt,3
Grandes Baïmes Les,392,Chalet,Rue de la Legettaz,La Legettaz,11
Grange à Léonard,37,Chalet,D902,La Daille,2
Grange La,531,Chalet,Chemin des Prés,Le Fornet,14
Grapillon,433,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Gratiot,382,Chalet,Accès par Rue du Joseray,Châtelard,11
Griffiths,308,Cabinet Médical,Place des Dolomites,Val Village,8
Grizny,488,Résidence,Avenue du Prariond,Les Richardes,12
Grizzly,108,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Gunié,547,Chalet,Rue du Fornet,Le Fornet,15
Hameaux de Val,494,Résidence,Avenue du Prariond,Les Richardes,12
Hameaux des Verdets,173,Résidence,Route de la Balme,La Balme,5
Hangar L',540,Chalet,Rue du Fornet,Le Fornet,15
Haute Pierre,49,Chalet,Chemin de la Ruaz,Le Crêt,3
Hauts de Val Les,289,Résidence,Montée du Thovex,Le Thovex,7
Hauts du Rogoney Les,339,Résidence,Chemin du Rogoney,Le Rogoney,8
Hélène Immobilier,284,Agence Immobilière,Place Moufflier,Le Thovex,7
Henri Oreillier,320,Hôtel,Rue de la Grande Ourse,Le Front de Neige,8
Hermine,107,Chalet,Accès par Route de la Balme,Le Petit Alaska,5
Hestia,466,Chalet,Rue Nicolas Bazile,Vieux Village,8
Hibou Le,127,Commerce,Avenue Olympique,L'Illaz,4
Himalaya,20,Chalet,Rue des Etroits,La Daille,2
Hors Limite,251,Commerce,Rue du Parc des Sports,Les Lèches,7
Hotel Lodge,490,Chalet,Avenue du Prariond,Les Richardes,12
Husky,101,Chalet,Accès par Route de la Balme,Le Petit Alaska,5
Idex,495,Bâtiment,Avenue du Prariond,Les Richardes,12
Illaz L',131,Chalet,Accès par Avenue Olympique,L'Illaz,4
Illaz L',129,Résidence,Avenue Olympique,L'Illaz,4
In Extenso Tarentaise,463,Cabinet comptable,Avenue du Prariond,Le Vieux Village,8
India,386,Chalet,Accès par Rue du Joseray,Châtelard,11
Innoko,95,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Intersport,147,Commerce,Avenue Olympique,L'Illaz,4
Intersport,7,Commerce,Place du Rosoleil,La Daille,1
Intersport By Mattis,263,Commerce,Rue du Cocor,Les Lèches,7
Intersport By Pitte,282,Commerce,Avenue Olympique,Le Thovex,7
Inuit (chalet),672,Chalet,Chemin du petit Alaska,Le petit Alaska,5
Iraniens (Chalet des),655,Chalet,Route du Fornet,Montée du Fornet,14
Iris Les,122,Chalet,Avenue Olympique,Le Cacholet,3
Iseran 2000,143,Résidence,Accès par Avenue Olympique,L'Illaz,4
Isère L',288,Résidence,Montée du Thovex,Le Thovex,7
Jack,450,Bar,Rue de la Poste,Vieux Village,8
Jack Wolfskin,282,Commerce,Avenue Olympique,Le Thovex,7
Jade,228,Chalet,Montée de Bellevarde,Vers les Eaux,6
Jane Griffith,449,Galerie d'art,Rue de l'église,Vieux Village,8
Jardin Alpin I,410,Résidence,Rue de la Legettaz,La Legettaz,11
Jardin Alpin II,411,Résidence,Rue de la Legettaz,La Legettaz,11
Jardin Alpin III,409,Résidence,Rue de la Legettaz,La Legettaz,11
Jardin de la Balme,172,Résidence,Route de la Balme,La Balme,5
Jardin de Val,171,Résidence,Route de la Balme,La Balme,5
Jardin des Alpes,145,Restaurant,Avenue Olympique,L'Illaz,4
Jean sport,442,Commerce,Avenue du Prariond,Vieux Village,8
Joseray,371,Chapelle,Accès par Rue du Joseray,Le Joseray,10
Julien,356,Chalet,Rue de la Face,Chantel,9
Jupiter V5 + Gardien Val Village,297,Résidence,Rue de la Poste,Val Village,8
Kandahar Le,213,Hôtel,Avenue Olympique,Le Dôme,7
Kavok,562,Chalet,Route du Fornet,Le Fornet,15
Kern Le,274,Hôtel,Passage du Kern,Les Lèches,7
Kilco,651,Chalet,Rue de la Calabourdanne,Parc des Sports,6
Kilimandjaro,675,Hôtel,Rue des célibataires,Célibataires,12
Kilimanjaro,393,Chalet,Rue de la Legettaz,La Legettaz,11
Killy Sport,284,Commerce,Place Moufflier,Le Thovex,7
Kilo 1-2-3,384,Chalet,Accès par Rue du Joseray,Châtelard,11
Kinésithérapeute,282,Médecin,Avenue Olympique,Le Thovex,7
Kinésithérapeute Masseur,147,Médecin,Avenue Olympique,L'Illaz,4
Kineval,63,Cabinet Médical,Avenue Olympique,Le Crêt,3
K2,678/309,Hôtel,Avenue du Prariond,L'Illetaz,8
La Bouclia,45,Chalet,Chemin du Crêt,Le Crêt,3
Lac Damour,539,Chalet,Rue du Fornet,Le Fornet,15
Lafitenia *,389,Chalet,Rue de la Legettaz,La Legettaz,11
Laisinant (Chalet du),523,Résidence,Route du Laisinant,Le Laisinant,13
Lamy,564,Chalet,Route du Fornet,Le Fornet,15
Languetin,156,Chalet,Rue de la Face,La Calabourdanne,7
Languetin,157,Chalet,Rue de la Face,La Calabourdanne,7
Lascha,569,Chalet,Route du Fornet,Le Fornet,15
Lauzes Les,454,Hôtel,Rue de l'Eglise,Vieux Village,8
Laverie Automatique,7,Commerce,Place du Rosoleil,La Daille,1
Laverie Automatique,127,Commerce,Avenue Olympique,L'Illaz,4
Laverie Automatique,252,Commerce,Rue du Parc des Sports,Les Lèches,7
Lecommandeur,352,Chalet,Rue de la Face,Chantel,9
L'écureuil,674,Résidence,Avenue du Prariond,Les richardes,12
Leissières Les,348,Résidence,Rue des Leissières,Le Rogoney,8
Le petit alaska,673,Chalet,chemin du petit alaska,Le petit alaska,4
Lepiote,165,Chalet,Route de la Balme,La Balme,5
Librairie Bouquiniste,252,Commerce,Rue du Parc des Sports,Les Lèches,7
Lièvre Blanc,182,Chalet,Route de la Balme,La Balme,6
Lièvre Blanc,472,Chalet,Rue Nicolas Bazile,Vieux Village,8
Life Mountain Style,284,Commerce,Place Moufflier,Le Thovex,7
Lima 1 et 2,383,Chalet,Accès par Rue du Joseray,Châtelard,11
Little lodge,337,Chalet,Rue des Leissières,Le Front de Neige,8
Lo Coumel,433,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Lo Soli,521,Chalet,Route du Laisinant,Le Laisinant,13
Lô Suel,556,Chalet,Route du Fornet,Le Fornet,15
Lo Tavaillon,515,Chalet,Chemin de la Vanoise,Le Laisinant,13
Lô Torsaï,555,Chalet,Route du Fornet,Le Fornet,15
Lodge Le,196,Restaurant/Bar,Rue du Parc des Sports,Le Coin,7
Logement STVI,15,Bâtiment,Rue des étroits,La Daille,2
Lolë,277,Commerce,Avenue Olympique,Les Lèches,7
Lorres Les,485,Résidence,Avenue du Prariond,Les Richardes,12
Lothse,316,Chalet,Avenue du Prariond,L'Illetaz,8
Loup,540,Chalet,Rue du Fornet,Le Fornet,15
Loup Blanc,317,Résidence,Avenue du Prariond,L'Illetaz,8
Lucaval,403,Chalet,Rue de la Legettaz,La Legettaz,11
Luge La,277,Restaurant,Avenue Olympique,Les Lèches,7
Lupins Les,501,Résidence,Allée des Richardes,Les Richardes,12
Lys Martagon,272,Résidence,Avenue Olympique,Les Lèches,7
M,278,Bar,Avenue Olympique,Les Lèches,7
Mac Kinley,507,Chalet,Rue des Barmettes,L'Adroit,12
Madame Vacances,279,Résidence,Avenue Olympique,Le Thovex,7
Madeleine,81,Chalet,Route de la Balme,Le Bosset,4
Mademoiselle Val d'Isère,319,Hotel,Rue de la poste,Place des Dolomites,8
Madrisha,65,Chalet,Chemin du Cacholet,Le Crêt,3
Maeva,434,Résidence,Rue du Cachay,Le Rond-Point des Pistes,9
Mage Le,208,Chalet,Accès par Rue du Coin,Le Coin,7
Mairie,283,Bâtiment,Chemin du Rafour,Le Thovex,7
Maison André,28,Chalet,Rue de la Daille,La Daille,2
Maison André,543,Chalet,Rue du Fornet,Le Fornet,15
Maison d'Angélique,32,Chalet,Rue de la Daille,La Daille,2
Maison d'en Haut,516,Chalet,Chemin de la Vanoise,Le Laisinant,13
Maison de la Presse,216,Commerce,Avenue Olympique,Le Dôme,7
Maison de Val,236,Bâtiment,Rue de la Face,Vers les Eaux,6
Maison du Grand Pierre,358,Chalet,Accès par Pont du Joseray,Le Joseray,10
Maison Forestière,149,Bâtiment,Avenue Olympique,L'Illaz,4
Maison Marcel Chauvin,449,Bâtiment,Rue de l'Eglise,Vieux Village,8
Maison Moris,444,Chalet,Montée du Bellevue,Vieux Village,8
Maison Rose,332,Chalet,Rue des Leissières,Le Front de Neige,8
Makalu,470-471,Résidence,Rue Nicolas Bazile,Vieux Village,8
Mangard,342,Chalet,Rue des Leissières,Le Rogoney,8
Marabout,135,Chalet,Accès par Avenue Olympique,L'Illaz,4
Marcel Charvin (Maison),449,Bâtiment,Rue de l'église,Vieux Village,8
Marco Polo,313,Chalet,Impasse des Gentianes,L'Illetaz,8
Margaux,419,Chalet,Rue de la Legettaz,La Legettaz,11
Margherio,275,Commerce,Avenue Olympique,Les Lèches,7
Marie,184,Chalet,Route de la Balme,La Balme,6
Marmottes Les,123,Chalet,Avenue Olympique,Le Cacholet,3
Marmottière,89,Chalet,Route de la Balme,Le Petit Alaska,5
Mars V4,300,Résidence,Val Village,Val Village,8
Marsa La,550,Chalet,Route du Fornet,Le Fornet,15
Marsala,176,Hôtel,Accès par Route de la Balme,La Balme,5
Mathilda,185,Chalet,Route de la Balme,La Balme,6
Mattis Diffusion,297,Commerce,Val Village,Val Village,8
Mattis Felix,549,Chalet,Rue du Fornet,Le Fornet,15
Mattis Gerard et Philippe,135,Chalet,Accès par Avenue Olympique,L'illaz,4
Mattis Sport,252,Commerce,Rue du Parc des Sports,Les Lèches,7
Mattis Sport,278,Commerce,Avenue Olympique,Les Lèches,7
Mattis Sport-Intersport,263,Commerce,Rue du Cocor,Les Lèches,7
Médiathèque,236,Bâtiment,Rue de La Face,Vers les Eaux,6
Medival,63,Cabinet Médical,Avenue Olympique,Le Crêt,3
Mélanie,652,Chalet,Rue Nicolas Bazile,Vieux Village,8
Mélèzes ASCO,526,Chalet,Chemin de la Vanoise,Le Laisinant,13
Mélèzes Les,189,Chalet,Route de la Balme,La Balme,6
Mercure V1,299,Résidence,Val Village,Val Village,8
Merlot,420,Chalet,Rue de la Legettaz,La Legettaz,11
Métropole Le,251,Bâtiment,Rue du Parc des Sports,Les Lèches,7
Millega,197,Chalet,Rue du Coin,Le Coin,7
Millet Eider,282,Commerce,Avenue Olympique,Le Thovex,7
Mistral,389,Chalet,Rue de la Legettaz,La Legettaz,11
Mistral Le,257,Chalet,Rue du Parc des Sports,Les Lèches,7
Misty Fly,284,Ecole de Ski,Place Moufflier,Le Thovex,7
Mont Roup,130,Chalet,Accès par Avenue Olympique,L'Illaz,4
Montagne Girl,301,Commerce,Val Village,Val Village,8
Montain Masters,284,Ecole de Ski,Place Moufflier,Le Thovex,7
Montain Pro Shop,145,Commerce,Avenue Olympique,L'Illaz,4
Montain Property Services,125,Plomberie 24h/24,Avenue Olympique,Le Cacholet,3
Montana,219,Chalet,Montée de Bellevarde,Vers les Eaux,6
Montana (Village),490,Chalet,Avenue du Prariond,Les Richardes,12
Mont-Blanc,676,Hôtel,Rue des célibataires,Célibataires,12
Monument aux morts,453,Monument,Rue de l'Eglise,Vieux Village,8
Morille,162,Chalet,Route de la Balme,La Balme,5
Moris (Maison),444,Bâtiment,Montée du Bellevue,Vieux Village,8
Morraine La,361,Chalet,Accès par Pont du Joseray,Le Joseray,10
Mountain Hardwear,303,Commerce,Val Village,Val Village,8
Mourra,348,Chalet,Rue des Leissières,Le Rogoney,8
Mourra La,653,Chalet/Hotel/Restaurant/Bar,Avenue du Prariond,Le Rogoney,8
Mousseron,166,Chalet,Route de la Balme,La Balme,5
Moustière,103,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Mowgli,90,Chalet,Route de la Balme,Le Petit Alaska,5
Muscat,421,Chalet,Rue de la Legettaz,La Legettaz,11
Musée,236,Bâtiment,Rue de la Face,Vers les Eaux,6
Nanou,37,Chalet,D902,La Daille,2
Nanouk,91,Chalet,Route de la Balme,Le Petit Alaska,5
Napapijri,196,Commerce,Rue du Parc des Sports,Le Coin,7
Narcisse,461,Chalet,Rue Nicolas Bazile,Vieux Village,8
Neige,17,Chalet,Rue des Etroits,La Daille,2
Neige,311,Chalet,Impasse des Gentianes,L'Illetaz,8
Neige et Glace,327,Résidence,Rue de l'Eglise,Le Front de Neige,8
Neil Son,32,Chalet,Rue de la Daille,La Daille,2
Neptune V9,306,Résidence,Val Village,Val Village,8
Nevacho,545,Chalet,Rue du Fornet,Le Fornet,15
Névé,353,Chalet,Rue de la Face,Chantel,9
Next Bar,144,Bar,Avenue Olympique,L'Illaz,4
Nid des Hirondelles,549,Chalet,Rue du Fornet,Le Fornet,15
Niverole Le,334,Résidence,Rue des Leissières,Le Front de Neige,8
Notaire,63,Bâtiment,Avenue Olympique,Le Crêt,3
Nothface The,275,Commerce,Avenue Olympique,Les Lèches,7
Nothface The,300,Commerce,Val Village,Val Village,8
L'Ours Blanc,538,Chalet,Rue du Fornet,Le Fornet,15
Ô Rendez-Vous,306,Crêperie,Place des Dolomites,Val Village,8
Oakley by Precision Ski,303,Commerce,Val Village,Val Village,8
Oasis L',528,Chalet,Rue du Fornet,Le Fornet,15
Odalys,171,Résidence,Route de la Balme,La Balme,5
Odalys,339,Résidence,Chemin du Rogoney,Le Rogoney,8
Odlo,297,Commerce,Val Village,Val Village,8
Office du Tourisme,283,Bâtiment,Place Moufflier,Le Thovex,7
Ogier Sport,292,Commerce,Avenue du Prariond,Le Thovex,7
ONF,149,Bâtiment,Avenue Olympique,L'Illaz,4
Onyx,224,Chalet,Montée de Bellevarde,Vers les Eaux,6
Opal,226,Chalet,Montée de Bellevarde,Vers les Eaux,6
Orage,284,Commerce,Place Moufflier,Le Thovex,7
Orca,669,Chalet,Chemin de la Bayettaz,Le Fornet,15
Oréades,164,Résidence,Avenue Olympique,La Balme,5
Orée des Pistes L',433,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Orée L',164,Résidence,Route de la Balme,La Balme,5
Orient L',312,Chalet,Impasse des Gentianes,L'Illetaz,8
Ormelune,374,Chalet,Accès par Rue du Joseray,Châtelard,11
Ormelune,517,Chalet,Rue du Laisinant,La Laisinant,13
Ormelune L',266,Hôtel ',Rue Noël Machet,Les Lèches,7
Orso,566,Chalet,Accès par chemin de la Bayettaz,Le Fornet,15
Oscar,376,Chalet,Accès par Rue du Joseray,Châtelard,11
Ostéopathe,63,Centre Médical,Avenue Olympique,Le Crêt,3
Ostéopathe,147,Médecin,Avenue Olympique,L'Illaz,4
Otarie,99,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Ourson,133,Chalet,Accès par Avenue Olympique,L'Illaz,4
Ourson Blanc L',329,Résidence,Rue des Leissières,Le Front de Neige,8
Oxygène Ski Shop,145,Ecole de Ski,Avenue Olympique,L'Illaz,4
Pachouna,30,Chalet,Rue de la Daille,La Daille,2
Pacific Bar,290,Bar,Avenue du Prariond,Le Thovex,7
Palmyre,276,Chalet,Passage de Solaise,Les Lèches,7
Parc de la Vanoise,519,Garde,Chemin de la Vanoise,Le Laisinant,13
Parc Le,216,Hôtel,Avenue Olympique,Le Dôme,7
Parfumerie,290,Commerce,Place Moufflier,Le Thovex,7
Parking de la Face de Bellevarde P1,238,Parking,Rue de la Face,Vers les Eaux,9
Parking du Centre PO,253,Parking,Rue du Parc des Sports,Les Lèches,7
Parking Jardin Alpin,413,Parking,Rue de la Legettaz,La Legettaz,11
Parking La Daille P2,40,Parking,D902,La Daille,1
Parking Résidence Privée,287,Parking,Montée du Thovex,Le Thovex,7
Pas du Bouquetin,125,Résidence,Avenue Olympique,Le Cacholet,3
Patagonia,300,Commerce,Val Village,Val Village,8
Patinoire,260,Bâtiment,Rue des Lèches,Les Lèches,7
Paul,450,Restaurant,Rue de la Poste,Vieux Village,8
Pauline,186,Chalet,Route de la Balme,La Balme,6
Pélaou Blanc,141,Chalet,Avenue Olympique,L'Illaz,4
Pentes,17,Chalet,Rue des Etroits,La Daille,2
Perce Neige,178,Résidence,Rue du Picheru,La Balme,5
Perdrix Blanche La,216,Commerce,Avenue Olympique,Le Dôme,7
Perseval,477,Résidence,Rue des Leissières,Vieux Village,8
Petit Agra,53,Chalet,Chemin de la Ruaz,Le Crêt,3
Petit Danois Le,196,Bar,Rue du Parc des Sports,Le Coin,7
Petit Poucet Le,494,Garderie,Avenue du Prariond,Les Richardes,12
Petite Bergerie La,239,Chalet,Rue de la Calabourdanne,Parc des Sports,6
Petite Sassière,67,Chalet,Chemin du Cacholet,Le Crêt,3
Pharmacie,272,Commerce,Avenue Olympique,Les Lèches,7
Picheru,177,Résidence,Rue du Picheru,La Balme,5
Pier,450,Restaurant,Rue de la Poste,Vieux Village,8
Pierra Menta,120,Chalet,Avenue Olympique,Le Cacholet,3
Pierra Menta,70,Chalet,Chemin du Cacholet,Le Crêt,3
Pierra Menta La,68,Chalet,Chemin du Cacholet,Le Crêt,3
Pierre (Chalet de),520,Chalet,Chemin de la Vanoise,Le Laisinant,13
Pierre de Compia,46,Chalet,Chemin du Crêt,Le Crêt,3
Pierre et Vacances (Centre-Ville),138,Résidence,Accès par Avenue Olympique,L'Illaz,4
Pierre et Vacances (Daille),36,Résidence,Rue de la Daille,La Daille,1
Pignes Les,463,Résidence,Avenue du Prariond,Vieux Village,8
Pile,650,Chalet,Rue de la Face,La Calabourdanne,7
Pingouin,132,Chalet,Accès par Avenue Olympique,L'Illaz,4
Pistes,17,Chalet,Rue des étroits,La Daille,2
Pitte Sport,282,Commerce,Avenue Olympique,Le Thovex,7
Pizz'N Love,494,Pizzeria,Avenue du Prariond,Les Richardes,12
Pizza Pizza,146,Restauration,Avenue Olympique,L'Illaz,4
Planay Le,118,Résidence,Impasse du Planay,Le Cacholet,3
Planks II,297,Commerce,Val Village,Val Village,8
Plantée du Bâton Le,442,Chalet,Montée du Bellevue,Vieux Village,8
Platine,221,Chalet,Montée de Bellevarde,Vers les Eaux,6
Plein Sud Le,242,Résidence,Rue du Parc des Sports,Parc des Sports,6
Plomberie Eau Design,127,Plomberie Chauffage,Avenue Olympique,L'Illaz,4
Plomberie Montain Property Services,125,Plomberie Chauffage,Avenue Olympique,Le Cacholet,3
Pluton V10,308,Résidence,Place des Dolomites,Val Village,8
Point Break,277,Commerce,Avenue Olympique,Les Lèches,7
Poivre Blanc,299,Commerce,Val Village,Val Village,8
Police Municipale,129,Bâtiment,Avenue Olympique,L'Illaz,4
Pomme de Pin,563,Chalet,Route du Fornet,Le Fornet,15
Pompier,497,Bâtiment,Avenue du Prariond,Les Richardes,12
Portillo Le,127,Résidence,Avenue Olympique,L'Illaz,4
Poste La,307,Bâtiment,Rue de la Poste,Val Village,8
Poudreuse La,196,Commerce,Rue du Parc des Sports,Le Coin,7
Poudrière La,3,Bâtiment,Chemin du Bois de la Laye,La Daille,1
Prariond,283,Résidence,Place Moufflier,Le Thovex,7
Praz d'Aval,438,Résidence,Rue du Cachay,Rond-Point des Pistes,9
Praz de la Legettaz |,414,Résidence,Rue de la Legettaz,La Legettaz,11
Praz de la Legettaz IB,415,Résidence,Rue de la Legettaz,La Legettaz,11
Precision Ski,308,Commerce,Place des Dolomites,Val Village,8
Precision Ski,455,Commerce,Rue de l'Eglise,Vieux Village,8
Precision Ski,303,Commerce,Val Village,Val Village,8
Précision Ski,144,Commerce,Avenue Olympique,L'Illaz,4
Précision Ski,290,Commerce,Place Moufflier,Le Thovex,7
Précision Ski,196,Commerce,Rue du Parc des Sports,Le Coin,7
Première Neige,522,Chalet,Route du Laisinant,Le Laisinant,13
Presbytère,449,Bâtiment,Rue de l'Eglise,Vieux Village,8
Pro Shop,234,Commerce,Montée de Bellevarde,Vers les Eaux,6
Pro Shop killy Sport Avenue Lodge,273,Commerce,Avenue Olympique,Les Lèches,7
Pull In,290,Commerce,Avenue du Prariond,Place de l'Office,7
Pure Ski,284,Commerce,Place Moufflier,Le Thovex,7
Pure Spa,278,Spa,Avenue Olympique,Les Lèches,7
Quebra,391,Chalet,Rue de la Legettaz,La Legettaz,11
Quicksilver,215,Restauration,Avenue Olympique,Le Dôme,7
Le Ranch,386,Ensemble de Chalets,Accès par Rue du Joseray,Châtelard,11
Raton Laveur,98,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5
Renevier,295,Chalet,Accès par Avenue du Prariond,Le Thovex,7
Rénov'Val,494,Rénovations,Avenue du Prariond,Les Richardes,12
Résidence Canadienne,109,Résidence,Route de la Balme,Le Petit Alaska,5
Reversade,139,Chalet,Accès Avenue Olympique,L'Illaz,4
Richardes 2B2-2B3 Les,497,Résidence,Avenue du Prariond,Les Richardes,12
Richardes A1 Les,496,Résidence,Avenue du Prariond,Les Richardes,12
Richardes B1 Les,495,Résidence,Avenue du Prariond,Les Richardes,12
Rive Gauche,544,Chalet,Rue du Fornet,Le Fornet,15
Rivolier,517,Chalet,Route du Laisinant,Le Laisinant,13
Roc Merlet,112,Chalet,Chemin du Cacholet,Le Cacholet,3
Roche des Fours,378,Chalet,Accès par Rue du Joseray,Châtelard,11
Roche La,42,Chalet,Chemin de la Ruaz,Le Crêt,3
Rocher Le,188,Chalet,Route de la Balme,La Balme,6
Roches Blanches Les,486,Résidence,Avenue du Prariond,Les Richardes,12
Rocheur La,364,Chalet,Accès par Pont du Joseray,Le Joseray,10
Rogoney,340,Résidence,Chemin du Rogoney,Le Rogoney,8
Rogoney Aliet,341,Résidence,Accès par Rue des Leissières,Le Rogoney,8
Rogoney Bleuets,343,Résidence,Rue des Célibataires,Le Rogoney,8
Roitelet,546,Chalet,Rue du Fornet,Le Fornet,15
Rond-Point des Pistes I,436,Résidence,Rue du Cachay,Rond-Point des Pistes,9
Rond-Point des Pistes II,434,Résidence,Rue du Cachay,Rond-Point des Pistes,9
Rond-Point des Pistes III,439,Résidence,Rue du Cachay,Rond-Point des Pistes,9
Rosée Blanche,14,Bar Snack,Rue des Etroits,La Daille,2
Rosière La,365,Chalet,Accès par Rue du Joseray,Le Joseray,10
Rôtisserie La,234,Restaurant,Montée de Bellevarde,Vers les Eaux,6
Roussell,435,Chalet,Rue du Cachay,Rond-Point des Pistes,9
Roxy Le,213,Commerce/Restaurant,Avenue Olympique,Le Dôme,7
Rubi,232,Chalet,Montée de Bellevarde,Vers les Eaux,6
Ruitor,251,Résidence,Rue du Parc des Sports,Les Lèches,7
Sacoval,118,Bâtiment,Impasse du Planay,Cacholet,3
Safari photo vanoise,442,Prestation,Avenue du Prariond,Vieux Village,8
Saint Barthelemy,518,Chapelle,Route du Laisinant,Laisinant,13
Saint Charles Le,201,Résidence,Rue du Parc des Sports,Le Coin,7
Saint Hubert,271,Hôtel Restaurant/Bar,Avenue Olympique,Les Lèches,7
Saint Jacques,117,Résidence,Impasse du Planay,Le Cacholet,3
Saint Jean,338,Chapelle,Front de Neige,Front de Neige,8
Saint Michel,34,Résidence,Rue de la Daille,La Daille,2
Saint Roch,475,Chalet,Rue Nicolas Bazile,Vieux Village,8
Saint Roch,451,Chapelle,Rue Nicolas Bazile,Vieux Village,8
Saint Roch (Chalet),478,Chalet,Rue Nicolas Bazile,Vieux Village,8
Sainte Agathe,168,Résidence,Route de la Balme,La Balme,5
Sainte Madeleine,529,Chapelle,Rue du Fornet,Le Fornet,15
Sakura Studio,200,Résidence,Rue du Parc des Sports,Le Coin,7
Salle du Conseil,449,Bâtiment,Rue de l'Eglise,Vieux Village,8
Salon des Fous Le,281,Crêperie/Restauration,Avenue Olympique,Le Thovex,7
Saloon Le,354,Bar,Rue du Parc des Sports,Les Lèches,7
Sambrot,547,Chalet,Rue du Fornet,Le Fornet,15
Samovar,39,Hôtel/Restaurant,D902,La Daille,1
Sana La,264,Restaurant,Rue du Cocor,Les Lèches,7
Santel,12,Résidence,Rue du Rosoleil,La Daille,1
Santons Les,532,Chalet,Rue du Fornet,Le Fornet,15
Santons Les,202,Résidence,Rue du Coin,Le Coin,7
Sanville,398,Chalet,Rue de la Legettaz,La Legettaz,11
Saphir,230,Chalet,Montée de Bellevarde,Vers les Eaux,6
Sapins Les,241,Chalet,Rue de la Calabourdanne,Parc des Sports,6
Sarire,32,Chalet,Rue de la Daille,La Daille,2
Sarire La,537,Chalet,Rue du Fornet,Le Fornet,13
Sasserier,655,Chalet,Route du Fornet,Montée du Fornet,14
Saturne V7,303,Résidence,Val Village,Val Village,8
Saulire,113,Chalet,Chemin du Cacholet,Le Cacholet,3
Savoie,417,Chalet,Rue de la Legettaz,La Legettaz,11
Savoie Le,211,Hôtel,Avenue Olympique,Le Dôme,7
Savoy (Chez),361,Chalet,Rue du Joseray,Le Joseray,10
Savoyarde La,269,Hôtel,Rue Noël Machet,Les Lèches,7
Sayon (Le),658,Chalet,Route de la Balme,Le Bosset,4
Schuss Le,323,Chalet,Rue de l'Eglise,Le Front de Neige,8
Seccotine,279,Commerce,Avenue Olympique,Le Thovex,7
Seccotine (By),281,Commerce,Avenue Olympique,Le Thovex,7
Sequoia,50,Chalet,Chemin de la Ruaz,Le Crêt,3
Service des Pistes,436,Bâtiment,Rue du Cachey,Rond-Point des Pistes,9
